tsUtc,sensorId,gas,reading,unit,basis,nonce,bootId,calibCertHash,clockDriftMs,sigB64,lineB3
2025-10-30T15:32:04.318Z,sensor_01,CO2,740.5569819533555,ppm,dry,2,ee53da27-0a9d-460a-9887-6669ca805d6d,a7f05ee67c84b4841ce1f43f75cf5fa360e763e1d5beb91f5d7d930d953881b5,70751,EGL4PQ90budWmbNJtsLRDwbfUq0/nr0BgKEC7O5jyiTh5BHUSDtYGiTmpIsW99NVLLVP3cDNR/RtplvIwh44DA==,9472ddffcb363caf71fdd4a7905f27f53480df8e5e05c02d342b66a7762a9aa6
2025-10-30T15:32:09.32Z,sensor_01,CO2,706.6763456313431,ppm,dry,3,ee53da27-0a9d-460a-9887-6669ca805d6d,8244043c913f4cc89b44f804b64b16d23076928b91b98cff56ec4bb1ed9a828e,-117835,Q4KU5DNZhFgecvp4iE6CiQIC5F7wB7TZXNSrN0OQIAwITRt90SqhVfZV+dMJcNS5ojC8c+EofJhx+NuS4At5Dw==,f997f770334ba960c611b5a6a1ae51a020905d4b21d91312762000291b626df2
2025-10-30T15:32:14.32Z,sensor_01,CO2,760.9643969657037,ppm,dry,4,ee53da27-0a9d-460a-9887-6669ca805d6d,e1ba860c81489f186d5cb14399b407e3edf1ca2bc1300f67c026b9c9517bbbe0,-8558,JHmz/8Wc5wTmRUaXLzVwTw6ZyF77GsWt03gwYo1/O1LF+d7XM9+bTgVJVOK8eyp5oX3OX1GhkJayrcTcT92MAQ==,98d75500d46c31d28dd77de9fd4b70ea78c399ba6bf465c8967faa00402add4d
2025-10-30T15:32:19.316Z,sensor_01,CO2,791.3906790228726,ppm,dry,5,ee53da27-0a9d-460a-9887-6669ca805d6d,97d64eba85da05289f5c360196d27167deb9e3a39c2b8816d955c3bf47100551,102403,rIlqvC2YKNoSVzFQY9s/uiTPCXMCk0rKdVSNWGI93P+mUfHfYSzKY5toBqER9DihH5PQZpurtGJkxd4d6NmvAQ==,94b3f50d606bc2ce001fcd368934a6fcaaa3a65b7d36ef14e8c796b4781ca6c9
2025-10-30T15:32:24.316Z,sensor_01,CO2,760.707237636397,ppm,dry,6,ee53da27-0a9d-460a-9887-6669ca805d6d,b6ad801d57e8eb2a905e2b37b43122fd1174e81a5ec710e642ea59b28b50ccd9,-67781,3j9AF6JsVrrq/Yx3CDxzi/IgzylU/8V49P+s+Q4clsEamJYO9u+oeB2sivfyFWiJdL7iHeurGnJnXXsr8wOtBQ==,f4079c66498a0de544406b450f1cab02e902288f841d841da9d7ef76dfafa701
2025-10-30T15:32:29.316Z,sensor_01,CO2,791.7027215495052,ppm,dry,7,ee53da27-0a9d-460a-9887-6669ca805d6d,46f9f57ae9065c7b8a8b068a68e3bd220447b4588b24caef6066d65436193a4e,-22722,k/RTqjWo/0xUgjT/RZrWDV72BH0qZPx0y81APU4yDF06UAcBz7z7TokhHqIe6n5/kPORdUlBzkbuGWWS44CsDw==,6eed85ba9a80d7815cf0ddfef085b12b8d71f5f4f3c04fe1795baf3dff7e4748
2025-10-30T15:32:34.32Z,sensor_01,CO2,742.4093517927863,ppm,dry,8,ee53da27-0a9d-460a-9887-6669ca805d6d,9d987dd9d6e723881646ba9e25b6ddedbe015f972f9e36bafee4811029601d21,-60417,feaJ/jlvy1rbu2/ablKvK5j5OKBZZb+sjelhYWa3A7U3qC74gElHUjHiqoMKBf+BXaAasJNAuOQwRHQLv2mZAA==,2af1b033a01b7167d90af2348e704dbb67a588a98de83f466fc551034a1cd6de
2025-10-30T15:32:39.316Z,sensor_01,CO2,749.4231005385667,ppm,dry,9,ee53da27-0a9d-460a-9887-6669ca805d6d,7001bc7937acabfd782c95c3d7fd3e584cc0d6bc5d3d53d74dc0c44a4ff83794,-98073,icpdXD0re7oJiLxC6ZCPIhhj/ffPsnFCxX2dwzgqthSkH1LEwdkg2w0HeHSctSriDhxcj9VKDoz4mnrxYTQmDA==,70bffd08368d49d1e131e3691bc8d96f785c28b663d04f4ff253b2b32ffd006d
2025-10-30T15:32:44.32Z,sensor_01,CO2,706.9419671409846,ppm,dry,10,ee53da27-0a9d-460a-9887-6669ca805d6d,be45584be1a2aea364533d46fa9f6b4aa0d61c9354a83d88c657155ed4f29862,58220,pRUE9/Dwtbz39So9md247TEAcks2BrlCg8egTU/2yek4eYFL2p2wDBA49G+n/g2cBfZCo8/hXonMaObzMwJaBQ==,f71958dc04b81973a3dedb77ea373e43b1973da05c1cc8b7e091b72b3ecf3aa6
2025-10-30T15:32:49.316Z,sensor_01,CO2,779.5391853771935,ppm,dry,11,ee53da27-0a9d-460a-9887-6669ca805d6d,a6e646e761fea9cb1ff874e910feeca11a2c3b2de7f55c2b720298f354f6fe31,103586,1PW3HJAcbPDYtbr/TzkALSQlImk7pSakhE3cM43W7ETP9w8Di5i9wlQxbzh3ZeBRnJOovCi+uSiagGkq017BCw==,2a000936a9136248a5ef3048671b523131fcf46796c0c4616b83c38dfb8e7d37
